127.0.0.1 - - [17/Oct/2022:15:47:05 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:47:06 +0900] "GET /practice01/test03.jsp HTTP/1.1" 500 2813
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:47:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:47:16 +0900] "GET /practice01/test03.jsp/str=include HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [17/Oct/2022:15:59:00 +0900] "GET /practice01/test03.jsp HTTP/1.1" 500 2813
0:0:0:0:0:0:0:1 - - [17/Oct/2022:16:24:51 +0900] "GET /practice01/test04.jsp HTTP/1.1" 500 3020
0:0:0:0:0:0:0:1 - - [17/Oct/2022:16:25:07 +0900] "GET /practice01/input.html HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [17/Oct/2022:16:25:32 +0900] "POST /practice01/test04.jsp HTTP/1.1" 500 3119
0:0:0:0:0:0:0:1 - - [17/Oct/2022:16:26:59 +0900] "POST /practice01/test04.jsp HTTP/1.1" 500 3119
0:0:0:0:0:0:0:1 - - [17/Oct/2022:16:29:46 +0900] "GET /practice01/input.html HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [17/Oct/2022:16:29:54 +0900] "POST /practice01/test04.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [17/Oct/2022:16:51:43 +0900] "GET /practice01/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2022:16:51:59 +0900] "POST /practice01/test04.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [17/Oct/2022:16:58:24 +0900] "GET /practice01/input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2022:16:58:35 +0900] "POST /practice01/test04.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [17/Oct/2022:17:17:17 +0900] "POST /practice01/test04.jsp HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [17/Oct/2022:17:19:59 +0900] "POST /practice01/test04.jsp HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [17/Oct/2022:17:21:30 +0900] "POST /practice01/test04.jsp HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [17/Oct/2022:17:22:24 +0900] "POST /practice01/test04.jsp HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [17/Oct/2022:17:23:14 +0900] "POST /practice01/test04.jsp HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [17/Oct/2022:17:50:50 +0900] "POST /practice01/test04.jsp HTTP/1.1" 200 2865
